Timestamp,Participant ID (P#),Task Completed,Condition,Did you successfully complete the task of designing a new question?,How much time do you think you spent on this task? (in minutes),How satisfied are you with the quality of the question you designed?,Rate your agreement with the following statements [I am confident that my designed question aligns well with the assignments topic.],Rate your agreement with the following statements [I am happy with the level of innovation and creativity of my designed question.],"Rate your agreement with the following statements [I feel like my designed question doesn't have high pedagogical quality (i.e., it is clear, fair, and effectively tests the intended concepts).]",Rate your agreement with the following statements [It was easy to come up with an idea for the new question.],Rate your agreement with the following statements [It was hard to write and format the new question.],"Compared to your typical experience designing assignment questions as a TA, this task was:","Please rate the following aspects of the task you just completed. [Mental Demand: How much mental and perceptual activity was required (e.g., thinking, deciding, calculating)?]",Please rate the following aspects of the task you just completed. [Temporal Demand (Pace): How much time pressure did you feel due to the rate or pace at which the task needed to be performed?],"Please rate the following aspects of the task you just completed. [Frustration Level: How insecure, discouraged, irritated, and stressed versus secure, gratified, content, and relaxed did you feel during the task?]",How helpful was the Brainstorm module in generating ideas for your question?,The innovation and difficulty scores provided by the system were:,Rate the quality of the AI-generated brainstorming ideas:,How helpful was the Design module in refining and structuring your question?,The AI's question enhancement and anonymization features were:,How helpful was the Generate module in finalizing your question?,The final document generation feature saved me time (or can save me time in my actual TA process):,Rank the following platform features by value to you [Brainstorm module (AI idea generation)],Rank the following platform features by value to you [Design module (question refinement and anonymization) Generate module (LaTeX generation)],Rank the following platform features by value to you [Generate module (Document generation)],What did you like most about using the platform for this task?,What was the most challenging aspect of designing this question?,"If you could've improved an aspect in this process for designing the question, what would you have changed and how?"," Any additional comments about this specific task?
(Leave empty if no)"
11/8/2025 9:48:36,10,Advanced Programming,Baseline,"Yes, Completely",15,3,3,2,2,4,1 (Strongly Disagree),2,2,3,4,,,,,,,,,,,GPT do everything,explaining the problem and the goal ,write a roadmap to design the task for LLMs,
11/8/2025 9:53:48,P3,Computer Simulation,Baseline,"Yes, Completely",35,4,5 (Strongly Agree),4,4,3,3,3,4,4,3,,,,,,,,,,,,,,
11/8/2025 9:59:46,P1,Computer Simulation,Baseline,"Yes, Completely",30,3,5 (Strongly Agree),3,2,2,1 (Strongly Disagree),3,4,3,3,,,,,,,,,,,-,پیدا کردن ایده اولیه و جدید,مجموعه سوال های بیش تری و دسترسی راحت تر جهت ساده کردن مراحل کار و صرفه‌جویی در زمان,
11/8/2025 10:01:41,P10,Computer Simulation,Experimental System,"Yes, Completely",10,4,5 (Strongly Agree),5 (Strongly Agree),2,4,1 (Strongly Disagree),1,1 (Very Low),1 (Very Low),5 (Very High),,Somewhat helpful,4,4,5,5,5,3,1,1,the Brain storm Queries are great,-,it is better to have and active brain storm which allow us to get feedback,it has some latex compiling error
11/8/2025 10:02:25,P2,Computer Simulation,Experimental System,"Yes, Completely",20,3,4,1 (Strongly Disagree),2,2,4,2,2,2,3,3,Somewhat helpful,3,5,4,3,5,3,2,1,convenient pdf-generation,,,
11/8/2025 10:05:30,P5,Computer Simulation,Experimental System,"Yes, Completely",10,4,1 (Strongly Disagree),2,1 (Strongly Disagree),1 (Strongly Disagree),3,1,1 (Very Low),1 (Very Low),2,5,Somewhat helpful,4,4,4,5,5,1,2,3,The brainstorming part + developing the idea meaningfully + in a standard way,Brainstorming,The details added to the question to tailor it more conviniently,
11/8/2025 10:09:26,P2,Advanced Programming,Baseline,"Yes, Completely",5,4,5 (Strongly Agree),3,4,3,5 (Strongly Agree),2,3,2,3,,,,,,,,,,,Considerable Innovation ,,,
11/8/2025 10:10:45,P1,Advanced Programming,Experimental System,"Yes, Completely",10,4,4,4,1 (Strongly Disagree),5 (Strongly Agree),2,1,1 (Very Low),1 (Very Low),2,4,Somewhat helpful,3,5,4,3,5,3,3,3,قسمت brainstorm و ساختن سوال های اولیه,ادیت و desgin کردن هر کدوم,-,
11/8/2025 10:12:00,P4,Computer Simulation,Experimental System,"Yes, Completely",10,5,5 (Strongly Agree),4,5 (Strongly Agree),5 (Strongly Agree),1 (Strongly Disagree),1,2,1 (Very Low),2,4,Somewhat helpful,4,4,4,4,5,3,3,3,it was to the point for the computer simulation context,"writing prompt, and giving the concept to design the problem on ","UX, there were some bugs. improvement needed",
11/8/2025 10:14:51,P6,Advanced Programming,Experimental System,"Yes, Completely",10,4,4,2,3,3,1 (Strongly Disagree),1,2,1 (Very Low),3,4,Very helpful in selecting ideas,4,5,5,5,5,3,1,2,The generation and text enhancement.,I couldn't go back and forth with the brainstorming module so we could reach better ideas.,I would have made the brainstorming module like a Chat so I could have a history of prebios a generated ideas and align my own thoughts more specifically with the ideas.,
11/8/2025 10:14:58,P3,Advanced Programming,Experimental System,"Yes, Completely",10,4,4,4,3,3,1 (Strongly Disagree),2,1 (Very Low),1 (Very Low),3,5,Somewhat helpful,4,5,5,5,5,2,3,3,It's structured format and the fact it provided multiple options to choose as final question,Evaluating quality and difficulty of questions,A brief explanation about the solution helps evaluation process,
11/8/2025 10:18:51,P4,Computer Simulation,Baseline,"Yes, Completely",15min,4,4,2,2,2,3,2,3,3,3,,,,,,,,,,,the access to the commonly known previous problems ,"lack of diversity in creating new questions. it was good in creating similar questions to the previously available ones in the internet, however it could not generalize well to design new  innovative but similar problems.",prompt engineering,
11/8/2025 10:19:20,P5,Advanced Programming,Baseline,"Yes, Completely",10 minutes,5,1 (Strongly Disagree),1 (Strongly Disagree),1 (Strongly Disagree),1 (Strongly Disagree),1 (Strongly Disagree),1,1 (Very Low),1 (Very Low),1 (Very Low),,,,,,,,,,,It generated very appropiate details after i gave it my initial idea,"Tailoring the idea, printing it out nicely","The final layout of output, setting of difficulty level to filter out details",
11/8/2025 10:22:18,P6,Computer Simulation,Baseline,"Yes, Completely",45,5,5 (Strongly Agree),4,3,2,5 (Strongly Agree),3,5 (Very High),5 (Very High),5 (Very High),,,,,,,,,,,I didnt use any platform ,find an innovative question with good scenario,-,
11/12/2025 13:50:21,P9,Computer Simulation,Experimental System,"Yes, Completely",10,5,1 (Strongly Disagree),2,1 (Strongly Disagree),2,4,1,2,2,2,5,Somewhat helpful,5,4,5,4,5,1,2,3,Brainstorming module was an amazing tool integrated in the website and I liked it the most.,Prompting in a way that is understandable and sufficient for the LLM to get what I mean.,"I think the system works fine overall and the idea behind it is very cool. I can think of no major concern and downfall for the system, but as a bonus for the system, the UI could have been more aesthetic and compatible with different screen sizes. But except this, all other aspect of the site was okay to my eyes.",
11/12/2025 13:53:30,P9,Advanced Programming,Baseline,"Yes, Completely",40,3,3,4,3,2,4,3,5 (Very High),5 (Very High),5 (Very High),,,,,,,,,,,I designed this question on my own and did not use the platform.,Coming up with a new idea was the hardest part.,Automizing the process.,
11/14/2025 8:08:33,P7,Advanced Programming,Experimental System,"Yes, Mostly (minor elements incomplete)",10,4,5 (Strongly Agree),4,4,5 (Strongly Agree),2,2,1 (Very Low),2,2,4,Very helpful in selecting ideas,3,5,3,3,5,3,1,2,the Latex making feature ,-,Better design for the first time usage,
11/14/2025 8:12:07,P7,Computer Simulation,Baseline,"Yes, Completely",17,4,2,5 (Strongly Agree),2,1 (Strongly Disagree),5 (Strongly Agree),2,4,1 (Very Low),2,,,,,,,,,,,,,,
11/14/2025 8:48:43,P12,Computer Simulation,Experimental System,"Yes, Completely",6,4,5 (Strongly Agree),5 (Strongly Agree),2,5 (Strongly Agree),2,1,1 (Very Low),1 (Very Low),2,5,Somewhat helpful,4,2,3,5,5,2,1,3,"- integration of all steps
- pdf generation
- difficulty and innovation measuring ",reviewing the AI. it is unreliable in sone parts. ,,
