Timestamp,I have read the study information and understand that my participation is voluntary. I know I can withdraw at any time without penalty. I consent to participate in this study.,Have you successfully completed university-level courses in the following subjects? (You must have passed all three to be eligible).,Participant ID,Age,Gender,Current Academic Status,How many times have you served as a Teaching Assistant (TA)? (Write your most accurate guess) ,"In your role as a TA, have you ever been responsible for designing or writing assignment questions?","If you use Large Language Models (LLMs) to help with TA duties (especially designing assignments), how would you describe your frequency of use?"
11/7/2025 15:24:47,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P5,22,Male,Undergraduate Student,2,"No, my duties were limited to grading, tutorials, etc.","Occasionally (I use it for specific tasks, like rephrasing or brainstorming)."
11/7/2025 15:37:08,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P3,21,Male,Undergraduate Student,9,"Yes, I have frequently designed questions.",Frequently (It is a regular part of my workflow for assignment design).
11/7/2025 20:36:47,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P2,22,Female,Undergraduate Student,10,"Yes, I have occasionally contributed to designing questions.",Frequently (It is a regular part of my workflow for assignment design).
11/8/2025 8:16:02,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P1,21,Male,Undergraduate Student,10,"Yes, I have frequently designed questions.",Rarely (I have experimented with it a few times).
11/8/2025 9:45:00,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P6,21,Male,Undergraduate Student,7,"Yes, I have occasionally contributed to designing questions.",Rarely (I have experimented with it a few times).
11/8/2025 10:08:34,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P10,22,Male,Undergraduate Student,15,"Yes, I have frequently designed questions.",Frequently (It is a regular part of my workflow for assignment design).
11/8/2025 10:23:34,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",p4,23,Female,Undergraduate Student,10,"Yes, I have occasionally contributed to designing questions.","Occasionally (I use it for specific tasks, like rephrasing or brainstorming)."
11/11/2025 21:43:13,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P9,25,Male,Master's Student,15,"Yes, I have frequently designed questions.","Occasionally (I use it for specific tasks, like rephrasing or brainstorming)."
11/14/2025 8:04:02,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P7,26,Male,Undergraduate Student,14,"Yes, I have frequently designed questions.",Frequently (It is a regular part of my workflow for assignment design).
11/14/2025 8:14:42,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P12,22,Male,Undergraduate Student,9,"Yes, I have occasionally contributed to designing questions.",Frequently (It is a regular part of my workflow for assignment design).
11/14/2025 8:15:34,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P11,23,Male,Undergraduate Student,7,"Yes, I have occasionally contributed to designing questions.",Frequently (It is a regular part of my workflow for assignment design).
11/14/2025 15:38:19,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P8,24,Male,PhD Student,25,"Yes, I have frequently designed questions.",Frequently (It is a regular part of my workflow for assignment design).
11/14/2025 16:57:48,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P13,20,Female,Undergraduate Student,3,"Yes, I have occasionally contributed to designing questions.","Occasionally (I use it for specific tasks, like rephrasing or brainstorming)."
11/14/2025 16:58:41,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P14,21,Female,Undergraduate Student,4,"Yes, I have occasionally contributed to designing questions.","Occasionally (I use it for specific tasks, like rephrasing or brainstorming)."
11/14/2025 16:59:21,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P15,23,Male,Undergraduate Student,4,"Yes, I have frequently designed questions.",Frequently (It is a regular part of my workflow for assignment design).
11/14/2025 16:59:53,"Yes, I consent to participate.","Statistics or Probability, Advanced Programming / Data Structures & Algorithms, Computer Simulation / Modeling & Simulation",P16,22,Male,Undergraduate Student,3,"Yes, I have occasionally contributed to designing questions.",Frequently (It is a regular part of my workflow for assignment design).
