Condition,Question,Average (1-5),N
Baseline,Rate your agreement with the following statements [I am confident that my designed question aligns well with the assignments topic.],3.50,12
Baseline,Rate your agreement with the following statements [I am happy with the level of innovation and creativity of my designed question.],2.83,12
Baseline,"Rate your agreement with the following statements [I feel like my designed question doesn't have high pedagogical quality (i.e., it is clear, fair, and effectively tests the intended concepts).]",2.83,12
Baseline,Rate your agreement with the following statements [It was easy to come up with an idea for the new question.],1.92,12
Baseline,Rate your agreement with the following statements [It was hard to write and format the new question.],3.17,12
Baseline,"Please rate the following aspects of the task you just completed. [Mental Demand: How much mental and perceptual activity was required (e.g., thinking, deciding, calculating)?]",3.67,12
Baseline,Please rate the following aspects of the task you just completed. [Temporal Demand (Pace): How much time pressure did you feel due to the rate or pace at which the task needed to be performed?],3.42,12
Baseline,"Please rate the following aspects of the task you just completed. [Frustration Level: How insecure, discouraged, irritated, and stressed versus secure, gratified, content, and relaxed did you feel during the task?]",3.00,12
Experimental System,Rate your agreement with the following statements [I am confident that my designed question aligns well with the assignments topic.],4.00,12
Experimental System,Rate your agreement with the following statements [I am happy with the level of innovation and creativity of my designed question.],3.58,12
Experimental System,"Rate your agreement with the following statements [I feel like my designed question doesn't have high pedagogical quality (i.e., it is clear, fair, and effectively tests the intended concepts).]",2.58,12
Experimental System,Rate your agreement with the following statements [It was easy to come up with an idea for the new question.],3.75,12
Experimental System,Rate your agreement with the following statements [It was hard to write and format the new question.],2.00,12
Experimental System,"Please rate the following aspects of the task you just completed. [Mental Demand: How much mental and perceptual activity was required (e.g., thinking, deciding, calculating)?]",1.42,12
Experimental System,Please rate the following aspects of the task you just completed. [Temporal Demand (Pace): How much time pressure did you feel due to the rate or pace at which the task needed to be performed?],1.33,12
Experimental System,"Please rate the following aspects of the task you just completed. [Frustration Level: How insecure, discouraged, irritated, and stressed versus secure, gratified, content, and relaxed did you feel during the task?]",2.33,12
